grower_id,season,activity,concentration_mg/kg,body_weight_kg,hours_per_month_by_activity,si_by_activity_min_mg/hour,si_by_activity_max_mg/hour,si_by_activity_mg/hour,si_indoor_mg/hour,ef_method_3_outdoor,avg_daily_dose_method_3_outdoor
4,Spring,Weeding,400.0,87.4,24.0,81.45,99.55000000000001,90.5,1.375,0.03284072249589491,0.00032645331469603544
4,Fall,Harvesting,400.0,87.4,0.33333,13.575,31.674999999999997,22.625,1.375,0.0004561165845648605,1.1335071186211407e-06
4,Fall,Preparing beds,400.0,87.4,8.0,36.2,54.3,45.25,1.375,0.010946907498631636,5.4408885782672564e-05
4,Fall,Seeding,400.0,87.4,1.0,36.2,54.3,45.25,1.375,0.0013683634373289546,6.8011107228340705e-06
4,Fall,Transplanting,400.0,87.4,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
4,Fall,Watering,400.0,87.4,0.99999,13.575,31.674999999999997,22.625,1.375,0.0013683497536945814,3.400521355863422e-06
4,Fall,Weeding,400.0,87.4,15.0,81.45,99.55000000000001,90.5,1.375,0.02052545155993432,0.00020403332168502216
4,Winter,Harvesting,400.0,87.4,4.0,13.575,31.674999999999997,22.625,1.375,0.005473453749315818,1.3602221445668141e-05
4,Winter,Preparing beds,400.0,87.4,0.0,36.2,54.3,45.25,1.375,0.0,0.0
4,Winter,Seeding,400.0,87.4,0.0,36.2,54.3,45.25,1.375,0.0,0.0
4,Winter,Transplanting,400.0,87.4,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
4,Winter,Watering,400.0,87.4,0.83333,13.575,31.674999999999997,22.625,1.375,0.0011402983032293378,2.8337847993296588e-06
4,Winter,Weeding,400.0,87.4,0.08333333,81.45,99.55000000000001,90.5,1.375,0.0001140302818828681,1.1335184084649403e-06
5,Spring,Harvesting,400.0,73.9,2.0,13.575,31.674999999999997,22.625,1.375,0.002736726874657909,8.043532844055451e-06
5,Spring,Preparing beds,400.0,73.9,8.0,36.2,54.3,45.25,1.375,0.010946907498631636,6.434826275244361e-05
5,Spring,Seeding,400.0,73.9,12.0,36.2,54.3,45.25,1.375,0.016420361247947456,9.65223941286654e-05
5,Spring,Transplanting,400.0,73.9,8.0,81.45,99.55000000000001,90.5,1.375,0.010946907498631636,0.00012869652550488722
5,Spring,Watering,400.0,73.9,60.0,13.575,31.674999999999997,22.625,1.375,0.08210180623973728,0.00024130598532166357
5,Spring,Weeding,400.0,73.9,10.0,81.45,99.55000000000001,90.5,1.375,0.013683634373289547,0.00016087065688110902
5,Summer,Harvesting,400.0,73.9,12.0,13.575,31.674999999999997,22.625,1.375,0.016420361247947456,4.82611970643327e-05
5,Summer,Preparing beds,400.0,73.9,6.0,36.2,54.3,45.25,1.375,0.008210180623973728,4.82611970643327e-05
5,Summer,Seeding,400.0,73.9,0.0,36.2,54.3,45.25,1.375,0.0,0.0
5,Summer,Transplanting,400.0,73.9,4.0,81.45,99.55000000000001,90.5,1.375,0.005473453749315818,6.434826275244361e-05
5,Summer,Watering,400.0,73.9,37.5,13.575,31.674999999999997,22.625,1.375,0.051313628899835796,0.0001508162408260397
5,Summer,Weeding,400.0,73.9,45.0,81.45,99.55000000000001,90.5,1.375,0.06157635467980296,0.0007239179559649906
5,Fall,Harvesting,400.0,73.9,4.0,13.575,31.674999999999997,22.625,1.375,0.005473453749315818,1.6087065688110903e-05
5,Fall,Preparing beds,400.0,73.9,10.0,36.2,54.3,45.25,1.375,0.013683634373289547,8.043532844055451e-05
5,Fall,Seeding,400.0,73.9,0.0,36.2,54.3,45.25,1.375,0.0,0.0
5,Fall,Transplanting,400.0,73.9,2.0,81.45,99.55000000000001,90.5,1.375,0.002736726874657909,3.2174131376221805e-05
5,Fall,Watering,400.0,73.9,30.0,13.575,31.674999999999997,22.625,1.375,0.04105090311986864,0.00012065299266083178
5,Fall,Weeding,400.0,73.9,20.0,81.45,99.55000000000001,90.5,1.375,0.027367268746579094,0.00032174131376221804
5,Winter,Harvesting,400.0,73.9,3.0,13.575,31.674999999999997,22.625,1.375,0.004105090311986864,1.2065299266083174e-05
5,Winter,Preparing beds,400.0,73.9,0.0,36.2,54.3,45.25,1.375,0.0,0.0
5,Winter,Seeding,400.0,73.9,0.0,36.2,54.3,45.25,1.375,0.0,0.0
5,Winter,Transplanting,400.0,73.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
5,Winter,Watering,400.0,73.9,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
5,Winter,Weeding,400.0,73.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
6,Summer,Harvesting,400.0,67.9,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
6,Summer,Preparing beds,400.0,67.9,4.0,36.2,54.3,45.25,1.375,0.005473453749315818,3.5017206313737714e-05
6,Summer,Seeding,400.0,67.9,0.0,36.2,54.3,45.25,1.375,0.0,0.0
6,Summer,Transplanting,400.0,67.9,1.0,81.45,99.55000000000001,90.5,1.375,0.0013683634373289546,1.7508603156868857e-05
6,Summer,Watering,400.0,67.9,7.5,13.575,31.674999999999997,22.625,1.375,0.01026272577996716,3.282863091912912e-05
6,Summer,Weeding,400.0,67.9,18.0,81.45,99.55000000000001,90.5,1.375,0.024630541871921183,0.00031515485682363954
6,Fall,Harvesting,400.0,67.9,4.0,13.575,31.674999999999997,22.625,1.375,0.005473453749315818,1.7508603156868857e-05
6,Fall,Preparing beds,400.0,67.9,0.0,36.2,54.3,45.25,1.375,0.0,0.0
6,Fall,Seeding,400.0,67.9,0.0,36.2,54.3,45.25,1.375,0.0,0.0
6,Fall,Transplanting,400.0,67.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
6,Fall,Watering,400.0,67.9,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
6,Fall,Weeding,400.0,67.9,10.0,81.45,99.55000000000001,90.5,1.375,0.013683634373289547,0.00017508603156868863
6,Winter,Harvesting,400.0,67.9,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
6,Winter,Preparing beds,400.0,67.9,0.0,36.2,54.3,45.25,1.375,0.0,0.0
6,Winter,Seeding,400.0,67.9,0.0,36.2,54.3,45.25,1.375,0.0,0.0
6,Winter,Transplanting,400.0,67.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
6,Winter,Watering,400.0,67.9,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
6,Winter,Weeding,400.0,67.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
6,Spring,Harvesting,400.0,67.9,10.0,13.575,31.674999999999997,22.625,1.375,0.013683634373289547,4.377150789217216e-05
6,Spring,Preparing beds,400.0,67.9,20.0,36.2,54.3,45.25,1.375,0.027367268746579094,0.00017508603156868863
6,Spring,Seeding,400.0,67.9,1.0,36.2,54.3,45.25,1.375,0.0013683634373289546,8.754301578434429e-06
6,Spring,Transplanting,400.0,67.9,2.0,81.45,99.55000000000001,90.5,1.375,0.002736726874657909,3.5017206313737714e-05
